"","PoissonsRatio","E","ThermalExpansion","InnerRadius","OuterRadius","InnerTemp","OuterTemp","ThicknessChange","PercentThicknessChange","YieldStress","TempDiff","TempDiff_for_Yield"
"4496",0.25,343617334855,2.662e-05,1.0298995243269,1.30909649330424,154.978519037832,172.024614470805,0.00122520230707323,0.438830805205721,120574198,17.0460954329736,17.05
"4497",0.07,167899225885,1.097e-05,0.1080427857209,1.099736997867,74.2336872091983,167.132272267136,0.00176497742396195,0.177975973071619,173609791,92.8985850579374,92.9
"4498",0.02,302939850490,9.17e-06,0.835159681073856,1.59419516719645,145.027218165342,306.845309604444,0.00180055629529535,0.237216352623142,322838046,161.818091439102,161.82
"4499",0.25,372806987648,3.02e-06,1.17148044925416,1.5855155490688,108.405944425613,213.148137554526,0.00021413583006737,0.0517192455816509,198377124,104.742193128914,221.78
"4500",0.14,231570200366,8.79e-06,0.712395640742034,1.51241232026368,104.99053937383,268.214120245209,0.00157606464112767,0.197003972725923,283445955,163.223580871379,163.22
"4501",0.39,275068666609,2.028e-05,0.780586058918852,1.34051219319692,134.388108027633,158.250503798316,0.00170847434730369,0.305124951795024,145944245,23.8623957706824,23.86
"4502",0.03,217492779531,2.031e-05,0.652113587511703,1.49862799116876,93.6150741530582,151.060661139342,0.00234956327234329,0.277557388532654,196905319,57.4455869862835,57.45
"4503",0.48,274601957002,7.25e-06,0.334780124861281,0.727559825575445,102.076803694945,177.434588691944,0.000448404319079813,0.114161785414193,210548722,75.3577849969988,75.36
"4504",0.27,301106317651,5.97e-06,1.04368559532799,1.27087481497787,28.4567458264064,174.321832840152,0.000150545615712926,0.0662644186836552,203632367,145.865087013746,145.87
"4505",0.03,215207896070,1.01e-05,0.314652664861642,1.10284372802824,197.959183680359,342.716276816298,0.00253966875504843,0.32221486308728,270691244,144.757093135938,144.76
"4506",0.43,234505137529,1.158e-05,0.929650787638966,1.99108691050438,110.502286528936,211.195743004976,0.00226470806447683,0.213362633482183,349143714,100.693456476041,100.69
"4507",0.2,339371024794,1.287e-05,0.362404850579333,0.609061357693281,173.454188398318,227.39625582287,0.000664839536826414,0.26954064362846,196792736,53.9420674245519,53.94
"4508",0.23,330093469992,2.368e-05,1.08798355545849,1.64412274378818,180.092268943554,199.883785787962,0.00253670998353424,0.456128616138885,127819024,19.7915168444086,19.79
"4509",0.48,313172504096,1.51e-05,0.280731817036867,0.91462264846079,120.492180553265,162.459113392961,0.00148391420786439,0.234096177812044,312559847,41.9669328396961,41.97
"4510",0.05,266499620364,1.231e-05,0.0843489827169105,0.479744759718887,165.53846358438,212.402447956779,0.00101107383422706,0.25571184444441,145102087,46.8639843723984,46.86
"4511",0.03,399364837902,1.666e-05,0.649396711487789,1.70537595915841,102.768127125455,126.40376374256,0.00213243513901681,0.201939114212778,126327525,23.6356366171053,23.64
"4512",0.36,267953388155,1.431e-05,0.57631335563492,0.826580540742725,33.9869300136343,133.747903297442,0.000342302248953886,0.136774722905217,366596326,99.7609732838081,99.76
"4513",0.4,328944614842,3.61e-06,0.416982442571316,1.41192991501885,143.196907261154,248.537309778593,0.000827742719283701,0.0831946150129402,172771286,105.340402517439,105.34
"4514",0.17,258097115362,7.47e-06,0.698230363863986,1.61083795071347,175.063222768949,362.927137973708,0.00215380154184994,0.236005219865126,326221230,187.863915204759,187.86
"4515",0.42,163909436036,1.243e-05,0.16560758999316,0.345837605486158,145.416815462522,262.925409237295,0.000516610647501282,0.286639628858797,299763549,117.508593774773,117.51
"4516",0.1,388969178651,1.475e-05,0.96390266162809,1.71504019697197,102.315833308967,161.417019774102,0.00158022911775212,0.210378132285545,257897823,59.1011864651351,59.1
"4517",0.03,145529040135,1.908e-05,0.515783096437808,1.57861282388447,117.508212989196,263.634607445361,0.00478809613748914,0.450504536506713,339879217,146.126394456164,146.13
"4518",0.06,156553193436,2.919e-05,0.287340262355283,0.910169913582504,27.850983053213,86.1492269407093,0.00137333014699565,0.220498517417988,233011763,58.2982438874963,58.3
"4519",0.48,163867973813,2.157e-05,0.580681377958972,0.705470480078366,44.570587790804,112.052286208648,0.000222454730563337,0.178264549375875,257236790,67.4816984178439,67.48
"4520",0.04,373457310577,1.341e-05,0.66124084479874,1.11716018598294,58.4791649482213,136.762079394451,0.00067704822477772,0.148501755380494,271377396,78.2829144462295,78.28
